ISO,Country,Continent,Subregion,Year,Population,Estimate of firearms in civilian possession,Total law enforcement firearms,Total military firearms,"Estimate of firearms in civilian possession per 1,000","Total law enforcement firearms per 1,000","Total military firearms per 1,000",Total Homicides,Total Sexual Crimes,Total Violent Crimes,"Total Homicides per 1,000","Total Sexual Crimes per 1,000","Total Violent Crimes per 1,000",Country GDP,"Country GDP per 1,000","Combined Crime Rate per 1,000"
ALB,Albania,Europe,Southern Europe,2018,2911000.0,350000,19000,21750.0,120.2335967021642,6.5269666781174855,7.471659223634489,6248,325,970,2.1463414634146343,0.11164548265200962,0.33321882514599793,15379509892.0,5283239.399519066,2.5912057712126417
DZA,Algeria,Africa,Northern Africa,2018,41064000.0,877000,363000,637720.0,21.356906292616404,8.839859731151375,15.529904539255796,9855,3193,16803,0.23999123319696083,0.07775667251120202,0.4091905318527177,194554000000.0,4737823.884667836,0.7269384375608805
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,2018,94000.0,5000,800,438.0,53.191489361702125,8.51063829787234,4.659574468085107,534,251,205,5.680851063829787,2.6702127659574466,2.180851063829787,1661529630.0,17675847.127659574,10.53191489361702
ARG,Argentina,Americas,Latin America and the Caribbean,2018,44272000.0,3256000,391000,679770.0,73.54535598120708,8.831767256956994,15.354400072280448,119890,32667,136473,2.708032164799422,0.7378704372967113,3.0826029996385977,524820000000.0,11854445.247560535,6.5285056017347305
ARM,Armenia,Asia,Western Asia,2018,3032000.0,186000,18000,509240.0,61.34564643799472,5.936675461741425,167.9551451187335,1237,174,242,0.40798153034300794,0.05738786279683377,0.07981530343007916,12457940695.0,4108819.490435356,0.5451846965699209
AUS,Australia,Oceania,Australia and New Zealand,2018,24642000.0,3573000,69000,214520.0,144.9963476990504,2.8000973946919894,8.705462218975732,10072,27917,82242,0.40873305738170607,1.132903173443714,3.337472607742878,1427810000000.0,57942131.320509695,4.879108838568298
AUT,Austria,Europe,Western Europe,2018,8592000.0,2577000,37900,240880.0,299.9301675977654,4.411080074487895,28.03538175046555,4714,10323,14200,0.5486499068901304,1.2014664804469275,1.6527001862197392,452582000000.0,52674813.78026071,3.4028165735567972
AZE,Azerbaijan,Asia,Western Asia,2018,9974000.0,362000,18000,537920.0,36.29436534990976,1.8046921997192702,53.93222378183277,9276,350,778,0.9300180469219972,0.035091237216763584,0.07800280729897735,47112470052.0,4723528.178464007,1.043112091437738
BHS,Bahamas,Americas,Latin America and the Caribbean,2018,397000.0,74000,5000,2470.0,186.39798488664988,12.594458438287154,6.221662468513854,6298,842,7072,15.863979848866498,2.120906801007557,17.81360201511335,12615800000.0,31777833.753148615,35.7984886649874
BRB,Barbados,Americas,Latin America and the Caribbean,2018,286000.0,10000,2000,1675.0,34.96503496503497,6.993006993006993,5.856643356643357,1783,443,791,6.234265734265734,1.548951048951049,2.765734265734266,5629916200.0,19685021.67832168,10.54895104895105
BLR,Belarus,Europe,Eastern Europe,2018,9459000.0,581000,165000,780600.0,61.42298340205095,17.443704408499844,82.52457976530289,3268,2352,739,0.34549106670895446,0.2486520773866159,0.07812665186594778,60031173808.0,6346460.916375938,0.6722697959615181
BEL,Belgium,Europe,Western Europe,2018,11444000.0,1451000,78000,80880.0,126.79133170220203,6.815798671793079,7.067458930443901,2663,20613,88436,0.23269835721775603,1.8012058720727018,7.727717581265292,542639000000.0,47416899.68542468,9.76162181055575
BLZ,Belize,Americas,Latin America and the Caribbean,2018,375000.0,37000,2000,3690.0,98.66666666666667,5.333333333333333,9.84,5102,342,1,13.605333333333334,0.912,0.002666666666666667,2293250000.0,6115333.333333333,14.520000000000001
BTN,Bhutan,Asia,Southern Asia,2018,793000.0,6000,4000,15200.0,7.566204287515763,5.044136191677175,19.167717528373267,167,106,1242,0.21059268600252207,0.13366960907944514,1.566204287515763,2583335721.0,3257674.3013871373,1.91046658259773
